FECHA,VENTAS_PRE,IVA,VENTAS_POST,TOTAL VENTAS DÍA,PELUQUERÍA
01/04/2024,207505.0,16131.0,223636.0,724505.0,517000.0
02/04/2024,297327.0,18551.0,315878.0,833327.0,536000.0
03/04/2024,90571.0,4529.0,95100.0,553571.0,463000.0
04/04/2024,89224.0,7035.0,96259.0,466224.0,377000.0
05/04/2024,153786.0,22688.0,176474.0,423786.0,270000.0
06/04/2024,496584.0,81726.0,578310.0,1126584.0,630000.0
08/04/2024,323105.0,44337.0,367442.0,871105.0,548000.0
09/04/2024,288565.0,41515.0,330080.0,665565.0,377000.0
10/04/2024,190101.0,14713.0,204814.0,754101.0,564000.0
11/04/2024,0.0,0.0,0.0,476000.0,476000.0
12/04/2024,61295.0,3066.0,64361.0,665295.0,604000.0
13/04/2024,138262.0,18231.0,156493.0,865262.0,727000.0
15/04/2024,321633.0,40591.0,362224.0,679633.0,358000.0
16/04/2024,117549.0,14869.0,132418.0,583549.0,466000.0
17/04/2024,226982.0,3055.0,230037.0,874982.0,648000.0
18/04/2024,266078.0,15421.0,281499.0,817078.0,551000.0
19/04/2024,398538.0,52812.0,451350.0,940538.0,542000.0
20/04/2024,139181.0,7001.0,146182.0,914181.0,775000.0
22/04/2024,67083.0,3355.0,70438.0,475083.0,408000.0
23/04/2024,127983.0,20117.0,148100.0,487983.0,360000.0
24/04/2024,87798.0,4390.0,92188.0,503798.0,416000.0
25/04/2024,713497.0,110050.0,823547.0,1134497.0,421000.0
26/04/2024,284288.0,35480.0,319768.0,668288.0,384000.0
27/04/2024,277810.0,18880.0,296690.0,902810.0,625000.0
29/04/2024,338946.0,43003.0,381949.0,904946.0,566000.0
30/04/2024,619599.0,48999.0,668598.0,1162599.0,543000.0
