FECHA,VENTAS_PRE,IVA,VENTAS_POST,TOTAL VENTAS DÍA,PELUQUERÍA
01/11/2025,326453.0,35701.0,362154.0,991453.0,665000.0
04/11/2025,518575.0,56423.0,574998.0,1048575.0,530000.0
05/11/2025,45142.0,2257.0,47399.0,675142.0,630000.0
06/11/2025,29938.0,2262.0,32200.0,414938.0,385000.0
07/11/2025,0.0,0.0,0.0,567000.0,567000.0
08/11/2025,222510.0,23997.0,246507.0,1132510.0,910000.0
10/11/2025,302717.0,27983.0,330700.0,822717.0,520000.0
11/11/2025,141037.0,16463.0,157500.0,541037.0,400000.0
12/11/2025,426128.0,41771.0,467899.0,806128.0,380000.0
13/11/2025,13333.0,667.0,14000.0,448333.0,435000.0
14/11/2025,17670.0,1225.0,18895.0,442670.0,425000.0
15/11/2025,524122.0,34972.0,559094.0,1374122.0,850000.0
18/11/2025,154852.0,8355.0,163207.0,524852.0,370000.0
19/11/2025,18406.0,3497.0,21903.0,503406.0,485000.0
20/11/2025,23333.0,1167.0,24500.0,418333.0,395000.0
21/11/2025,305306.0,15265.0,320571.0,530306.0,225000.0
22/11/2025,208868.0,21032.0,229900.0,688868.0,480000.0
24/11/2025,196236.0,9812.0,206048.0,451236.0,255000.0
25/11/2025,90190.0,4510.0,94700.0,465190.0,375000.0
26/11/2025,251737.0,21113.0,272850.0,723737.0,472000.0
27/11/2025,308770.0,18613.0,327383.0,825770.0,517000.0
28/11/2025,0.0,0.0,0.0,300000.0,300000.0
29/11/2025,68081.0,11469.0,79550.0,558081.0,490000.0
