FECHA,VENTAS_PRE,IVA,VENTAS_POST,TOTAL VENTAS DÍA,PELUQUERÍA
01/11/2023,242872.0,10530.0,253402.0,715872.0,473000.0
02/11/2023,324694.0,55417.0,380111.0,1076694.0,752000.0
03/11/2023,704619.0,116787.0,821406.0,1394619.0,690000.0
04/11/2023,503132.0,49853.0,552985.0,1040132.0,537000.0
07/11/2023,167786.0,14580.0,182366.0,483786.0,316000.0
08/11/2023,125402.0,11028.0,136430.0,365402.0,240000.0
09/11/2023,151483.0,10517.0,162000.0,666483.0,515000.0
10/11/2023,378876.0,33361.0,412237.0,896876.0,518000.0
11/11/2023,277558.0,15406.0,292964.0,932558.0,655000.0
14/11/2023,100961.0,7989.0,108950.0,498961.0,398000.0
15/11/2023,379887.0,31625.0,411512.0,657887.0,278000.0
16/11/2023,293810.0,20407.0,314217.0,683810.0,390000.0
17/11/2023,330299.0,13645.0,343944.0,782299.0,452000.0
18/11/2023,297340.0,24156.0,321496.0,1016340.0,719000.0
20/11/2023,127675.0,18923.0,146598.0,573675.0,446000.0
21/11/2023,138972.0,18855.0,157827.0,730972.0,592000.0
22/11/2023,286625.0,26004.0,312629.0,877625.0,591000.0
23/11/2023,416128.0,29714.0,445842.0,992128.0,576000.0
24/11/2023,166551.0,18378.0,184929.0,518031.0,351480.0
25/11/2023,339353.0,33957.0,373310.0,914353.0,575000.0
27/11/2023,331130.0,39145.0,370275.0,760130.0,429000.0
28/11/2023,386499.0,24413.0,410912.0,1074499.0,688000.0
29/11/2023,199593.0,28864.0,228457.0,672593.0,473000.0
30/11/2023,679082.0,39559.0,718641.0,1129082.0,450000.0
