FECHA,VENTAS_PRE,IVA,VENTAS_POST,TOTAL VENTAS DÍA,PELUQUERÍA
10/01/2023,494879.0,62396.0,557275,918879,424000.0
11/01/2023,296645.0,27064.0,323709,1020645,724000.0
12/01/2023,98579.0,4930.0,103509,684579,586000.0
13/01/2023,274148.0,32059.0,306207,877148,603000.0
14/01/2023,361147.0,29330.0,390477,970147,609000.0
16/01/2023,460441.0,49264.0,509705,904441,444000.0
17/01/2023,291047.0,10669.0,301716,759047,468000.0
18/01/2023,223488.0,37951.0,261439,687488,464000.0
19/01/2023,281815.0,10390.0,292205,712815,431000.0
20/01/2023,593650.0,47033.0,640683,1117650,524000.0
21/01/2023,340608.0,42879.0,383487,926608,586000.0
23/01/2023,298584.0,33479.0,332063,851584,553000.0
24/01/2023,114136.0,4198.0,118334,521136,407000.0
25/01/2023,78039.0,14828.0,92867,337039,259000.0
26/01/2023,306410.0,58216.0,364626,587410,281000.0
27/01/2023,129223.0,11421.0,140644,641223,512000.0
28/01/2023,328308.0,28552.0,356860,819308,491000.0
30/01/2023,136130.0,15838.0,151968,522130,386000.0
31/01/2023,179643.0,22107.0,201750,682643,503000.0
