FECHA,VENTAS_PRE,IVA,VENTAS_POST,TOTAL VENTAS DÍA,PELUQUERÍA
01/07/2023,520722.0,31076.0,551798.0,1186722.0,666000.0
04/07/2023,301587.0,754.0,302341.0,858587.0,557000.0
05/07/2023,306044.0,26005.0,332049.0,829044.0,523000.0
06/07/2023,427549.0,41041.0,468590.0,855549.0,428000.0
07/07/2023,83289.0,11993.0,95282.0,491289.0,408000.0
08/07/2023,177356.0,14725.0,192081.0,713356.0,536000.0
10/07/2023,125013.0,14152.0,139165.0,649013.0,524000.0
11/07/2023,17193.0,3267.0,20460.0,573193.0,556000.0
12/07/2023,121291.0,16088.0,137379.0,439291.0,318000.0
13/07/2023,355725.0,43574.0,399299.0,733725.0,378000.0
14/07/2023,168934.0,26876.0,195810.0,520934.0,352000.0
15/07/2023,737584.0,115340.0,852924.0,1419584.0,682000.0
17/07/2023,223676.0,30101.0,253777.0,669676.0,446000.0
18/07/2023,102168.0,8639.0,110807.0,479168.0,377000.0
19/07/2023,1029.0,63.0,1092.0,550029.0,549000.0
21/07/2023,236866.0,18461.0,255327.0,806866.0,570000.0
22/07/2023,243022.0,11531.0,254553.0,803022.0,560000.0
24/07/2023,125070.0,7430.0,132500.0,605070.0,480000.0
25/07/2023,364371.0,8532.0,372903.0,1039371.0,675000.0
26/07/2023,104748.0,5238.0,109986.0,518748.0,414000.0
27/07/2023,453876.0,70214.0,524090.0,1047876.0,594000.0
28/07/2023,419370.0,47927.0,467297.0,927370.0,508000.0
29/07/2023,219981.0,33964.0,253945.0,697981.0,478000.0
31/07/2023,241309.0,18289.0,259598.0,848309.0,607000.0
