FECHA,VENTAS_PRE,IVA,VENTAS_POST,TOTAL VENTAS DÍA,PELUQUERÍA
02/10/2023,454919.0,40785.0,495704.0,776919.0,322000.0
03/10/2023,63591.0,6709.0,70300.0,656591.0,593000.0
04/10/2023,219680.0,19986.0,239670.0,768680.0,549000.0
05/10/2023,308439.0,45035.0,353479.0,621439.0,313000.0
06/10/2023,306180.0,50182.0,356362.0,974180.0,668000.0
07/10/2023,209150.0,26646.0,235796.0,770150.0,561000.0
09/10/2023,143562.0,15982.0,159544.0,501562.0,358000.0
10/10/2023,248828.0,32644.0,281472.0,652828.0,404000.0
11/10/2023,100243.0,15381.0,115624.0,567243.0,467000.0
12/10/2023,61949.0,9045.0,70994.0,560949.0,499000.0
13/10/2023,421248.0,59544.0,480792.0,1017248.0,596000.0
14/10/2023,206103.0,15835.0,221938.0,860103.0,654000.0
17/10/2023,214213.0,19643.0,233856.0,434213.0,220000.0
18/10/2023,61428.0,4072.0,65500.0,534428.0,473000.0
19/10/2023,121287.0,11582.0,132869.0,555287.0,434000.0
20/10/2023,164700.0,29400.0,194100.0,616700.0,452000.0
21/10/2023,99075.0,11225.0,110300.0,764075.0,665000.0
23/10/2023,369897.0,66687.0,436584.0,828897.0,459000.0
24/10/2023,149837.0,9105.0,158942.0,599837.0,450000.0
25/10/2023,83802.0,4191.0,87993.0,317802.0,234000.0
26/10/2023,165000.0,13426.0,178426.0,466000.0,301000.0
27/10/2023,281739.0,43170.0,324909.0,823739.0,542000.0
28/10/2023,327334.0,51921.0,379255.0,1015334.0,688000.0
30/10/2023,248812.0,27325.0,276137.0,819812.0,571000.0
31/10/2023,423244.0,37745.0,460989.0,1004244.0,581000.0
