FECHA,VENTAS_PRE,IVA,VENTAS_POST,TOTAL VENTAS DÍA,PELUQUERÍA
02/05/2023,258450.0,17456.0,275906,550450,292000.0
03/05/2023,495513.0,24413.0,519926,932513,437000.0
04/05/2023,80074.0,4005.0,84079,582074,502000.0
05/05/2023,154217.0,29168.0,183385,928217,774000.0
06/05/2023,264389.0,21896.0,286285,890389,626000.0
08/05/2023,310697.0,47186.0,357883,582697,272000.0
09/05/2023,249591.0,21656.0,271247,741591,492000.0
10/05/2023,245308.0,10416.0,255724,659308,414000.0
11/05/2023,104872.0,7032.0,111904,529872,425000.0
12/05/2023,104872.0,11007.0,115879,632872,528000.0
13/05/2023,135421.0,23547.0,158968,1086421,951000.0
15/05/2023,386676.0,27104.0,413780,886676,500000.0
16/05/2023,273796.0,4620.0,278416,743796,470000.0
17/05/2023,255353.0,46117.0,301470,666353,411000.0
18/05/2023,355436.0,56600.0,412036,670436,315000.0
19/05/2023,504771.0,48179.0,552950,1051771,547000.0
20/05/2023,379990.0,41564.0,421554,916990,537000.0
23/05/2023,429594.0,35608.0,465202,879594,450000.0
24/05/2023,117037.0,11290.0,128327,527037,410000.0
25/05/2023,297312.0,22776.0,320088,876312,579000.0
26/05/2023,356351.0,51348.0,407699,863351,507000.0
27/05/2023,377295.0,38058.0,415353,1057295,680000.0
29/05/2023,90473.0,4866.0,95339,454473,364000.0
30/05/2023,409344.0,23797.0,433141,777344,368000.0
31/05/2023,175235.0,31891.0,207126,347235,172000.0
