FECHA,VENTAS_PRE,IVA,VENTAS_POST,TOTAL VENTAS DÍA,PELUQUERÍA
01/03/2023,127413.0,11665.0,139078.0,555413.0,428000.0
02/03/2023,297415.0,34685.0,332100.0,871415.0,574000.0
03/03/2023,299325.0,19944.0,319269.0,857325.0,558000.0
04/03/2023,328485.0,31271.0,359756.0,885485.0,557000.0
06/03/2023,159052.0,10076.0,169128.0,705052.0,546000.0
07/03/2023,289044.0,38375.0,327419.0,754044.0,465000.0
08/03/2023,464184.0,23211.0,487395.0,993184.0,529000.0
09/03/2023,395521.0,41223.0,436744.0,917521.0,522000.0
10/03/2023,180866.0,12496.0,193362.0,878866.0,698000.0
11/03/2023,675157.0,40385.0,715542.0,1271157.0,596000.0
13/03/2023,30646.0,333.0,30979.0,561646.0,531000.0
14/03/2023,388953.0,61420.0,450373.0,932953.0,544000.0
15/03/2023,200134.0,17066.0,217200.0,678134.0,478000.0
16/03/2023,147575.0,14426.0,162001.0,546575.0,399000.0
17/03/2023,155747.0,7460.0,163207.0,761747.0,606000.0
18/03/2023,236060.0,18353.0,254413.0,816060.0,580000.0
21/03/2023,150448.0,7524.0,157972.0,689448.0,539000.0
22/03/2023,135259.0,23880.0,159139.0,580259.0,445000.0
23/03/2023,216755.0,20978.0,237733.0,685755.0,469000.0
24/03/2023,474639.0,70380.0,545019.0,1027639.0,553000.0
25/03/2023,648162.0,66128.0,714290.0,1219162.0,571000.0
27/03/2023,283548.0,14854.0,298402.0,619548.0,336000.0
28/03/2023,198905.0,17507.0,216412.0,498905.0,300000.0
29/03/2023,154120.0,20350.0,174470.0,591120.0,437000.0
30/03/2023,9569.0,1686.0,11255.0,507569.0,498000.0
31/03/2023,634841.0,70098.0,704939.0,1291841.0,657000.0
