FECHA,VENTAS_PRE,IVA,VENTAS_POST,TOTAL VENTAS DÍA,PELUQUERÍA
01/03/2024,282485.0,23100.0,305585.0,944485.0,662000.0
02/03/2024,567214.0,48478.0,615692.0,1196214.0,629000.0
04/03/2024,83682.0,11516.0,95198.0,409682.0,326000.0
05/03/2024,179572.0,10141.0,189713.0,604572.0,425000.0
06/03/2024,14252.0,2174.0,16426.0,416252.0,402000.0
07/03/2024,109238.0,5462.0,114700.0,532238.0,423000.0
08/03/2024,114854.0,3541.0,118395.0,734854.0,620000.0
09/03/2024,255398.0,12442.0,267840.0,1013398.0,758000.0
11/03/2024,275615.0,13783.0,289398.0,801615.0,526000.0
12/03/2024,33809.0,1691.0,35500.0,656809.0,623000.0
13/03/2024,110902.0,11066.0,121968.0,670902.0,560000.0
14/03/2024,235640.0,32948.0,268588.0,955640.0,720000.0
15/03/2024,323346.0,37358.0,360704.0,825346.0,502000.0
16/03/2024,238842.0,36893.0,275735.0,875842.0,637000.0
18/03/2024,258876.0,26662.0,285538.0,805876.0,547000.0
19/03/2024,344837.0,33800.0,378637.0,768837.0,424000.0
20/03/2024,220394.0,29596.0,249990.0,841394.0,621000.0
21/03/2024,189216.0,12284.0,201500.0,717216.0,528000.0
22/03/2024,67504.0,7801.0,75305.0,755504.0,688000.0
23/03/2024,972211.0,120812.0,1093023.0,1712211.0,740000.0
24/03/2024,138186.0,4884.0,143070.0,792186.0,654000.0
26/03/2024,338857.0,16942.0,355799.0,338857.0,
