FECHA,VENTAS_PRE,IVA,VENTAS_POST,TOTAL VENTAS DÍA,PELUQUERÍA
01/10/2024,105903.0,5295.0,111198,747903.0,642000.0
02/10/2024,253452.0,38346.0,291798,893452.0,640000.0
03/10/2024,280636.0,40574.0,321210,829636.0,549000.0
04/10/2024,328891.0,49240.0,378131,823891.0,495000.0
05/10/2024,,,0,968000.0,968000.0
07/10/2024,144711.0,39948.0,184659,519711.0,375000.0
08/10/2024,57231.0,5009.0,62240,315231.0,258000.0
09/10/2024,507902.0,38722.0,546624,1047902.0,540000.0
10/10/2024,542983.0,75087.0,618070,1090983.0,548000.0
11/10/2024,26917.0,2583.0,29500,744917.0,718000.0
12/10/2024,64924.0,7753.0,72677,968924.0,904000.0
15/10/2024,229997.0,24325.0,254322,962997.0,733000.0
16/10/2024,488093.0,65286.0,553379,1134093.0,646000.0
17/10/2024,253990.0,12701.0,266691,959990.0,706000.0
18/10/2024,354988.0,20445.0,375433,1342988.0,988000.0
19/10/2024,354486.0,20445.0,374931,1340486.0,986000.0
21/10/2024,147427.0,9373.0,156800,509427.0,362000.0
22/10/2024,78567.0,13730.0,92297,814567.0,736000.0
23/10/2024,182730.0,9843.0,192573,826730.0,644000.0
24/10/2024,114405.0,23737.0,138142,660405.0,546000.0
25/10/2024,23333.0,1167.0,24500,681333.0,658000.0
26/10/2024,319465.0,52985.0,372450,1164465.0,845000.0
28/10/2024,214965.0,23845.0,238810,759965.0,545000.0
29/10/2024,196996.0,19603.0,216599,833996.0,637000.0
30/10/2024,131641.0,24347.0,155988,982641.0,851000.0
31/10/2024,203195.0,27226.0,230421,766195.0,563000.0
