FECHA,VENTAS_PRE,IVA,VENTAS_POST,TOTAL VENTAS DÍA,PELUQUERÍA
02/02/2026,453484.0,48699.0,502183.0,1079484.0,626000.0
03/02/2026,148674.0,10375.0,159049.0,757674.0,609000.0
04/02/2026,326159.0,19720.0,345879.0,925159.0,599000.0
05/02/2026,10476.0,524.0,11000.0,462476.0,452000.0
06/02/2026,104541.0,18101.0,122642.0,352541.0,248000.0
07/02/2026,179098.0,16002.0,195100.0,961098.0,782000.0
09/02/2026,28700.0,5453.0,34153.0,481700.0,453000.0
10/02/2026,86857.0,4343.0,91200.0,386857.0,300000.0
11/02/2026,266353.0,30306.0,296659.0,511353.0,245000.0
12/02/2026,239702.0,34596.0,274298.0,745702.0,506000.0
13/02/2026,11429.0,2171.0,13600.0,328429.0,317000.0
14/02/2026,291821.0,52180.0,344001.0,1114821.0,823000.0
16/02/2026,127986.0,10798.0,138784.0,424986.0,297000.0
17/02/2026,423162.0,45536.0,468698.0,984162.0,561000.0
18/02/2026,35602.0,5298.0,40900.0,454602.0,419000.0
19/02/2026,438346.0,32951.0,471297.0,949346.0,511000.0
20/02/2026,184041.0,7257.0,191298.0,806041.0,622000.0
21/02/2026,169995.0,8105.0,178100.0,1099995.0,930000.0
23/02/2026,222480.0,9019.0,231499.0,724480.0,502000.0
24/02/2026,169540.0,18959.0,188499.0,885540.0,716000.0
25/02/2026,26957.0,5125.0,32082.0,185957.0,159000.0
26/02/2026,268092.0,13405.0,281497.0,690092.0,422000.0
27/02/2026,153533.0,21188.0,174721.0,522533.0,369000.0
28/02/2026,468294.0,24592.0,492886.0,1035294.0,567000.0
