id,name,reference,status,price,category_id,available_quantity,iva_percentage,iva,total_sold_quantity,total_revenue
898,COMEDERO PERRO GUSTO 1300 ML AGUAMARINA,,active,10397.0,5063,0.0,19.0,1975.43,0.0,0.0
903,COMEDERO PERRO GUSTO 1300 ML CORAL,,active,0.0,5063,0.0,19.0,0.0,2.0,24201.680672000002
893,COMEDERO PERRO GUSTO 1300 ML GRIS,,active,10397.0,5063,0.0,19.0,1975.43,0.0,0.0
895,COMEDERO PERRO GUSTO 200 ML AGUAMARINA,,active,4200.0,5063,0.0,19.0,798.0,3.0,12600.0
900,COMEDERO PERRO GUSTO 200 ML CORAL,,active,4200.0,5063,0.0,19.0,798.0,0.0,0.0
890,COMEDERO PERRO GUSTO 200 ML GRIS,,active,4202.0,5063,0.0,19.0,798.38,1.0,4202.0
896,COMEDERO PERRO GUSTO 350 ML AGUAMARINA,,active,6752.0,5063,0.0,19.0,1282.88,2.0,13504.0
891,COMEDERO PERRO GUSTO 350 ML GRIS,,active,5756.0,5063,0.0,19.0,1093.64,1.0,5756.0
901,COMEDERO PERRO GUSTO 350ML CORAL,,active,6752.0,5063,0.0,19.0,1282.88,0.0,0.0
897,COMEDERO PERRO GUSTO 700 ML AGUAMARINA,,active,7496.0,5063,0.0,19.0,1424.24,0.0,0.0
902,COMEDERO PERRO GUSTO 700 ML CORAL,,active,7496.0,5063,0.0,19.0,1424.24,0.0,0.0
892,COMEDERO PERRO GUSTO 700 ML GRIS,,active,7496.0,5063,0.0,19.0,1424.24,1.0,7496.0
904,COMEDERO PERRO GUSTO DOBLE 200 ML CORAL,,active,10504.0,5063,0.0,19.0,1995.76,0.0,0.0
894,COMEDERO PERRO GUSTO DOBLE X 200ML AGUAMARINA,,active,9328.0,5063,0.0,19.0,1772.32,0.0,0.0
1978,COMEDERO PERRO MAGNUS SLOW L,,active,39689.0,5063,1.0,19.0,7540.91,0.0,0.0
1977,COMEDERO PERRO MAGNUS SLOW M,,active,31415.0,5063,0.0,19.0,5968.85,1.0,31415.0
1976,COMEDERO PERRO MAGNUS SLOW S,,active,24175.0,5063,0.0,19.0,4593.25,0.0,0.0
1768,COMEDERO PERRO METALICO 180 SUPERNOVA,,active,37943.0,5063,0.0,19.0,7209.17,0.0,0.0
1764,COMEDERO PERRO METALICO 30 SUPERNOVA,,active,11375.0,5063,2.0,19.0,2161.25,0.0,0.0
1765,COMEDERO PERRO METALICO 45 SUPERNOVA,,active,19521.0,5063,2.0,19.0,3708.99,0.0,0.0
1766,COMEDERO PERRO METALICO 70 SUPERNOVA,,active,21718.0,5063,0.0,19.0,4126.42,0.0,0.0
1767,COMEDERO PERRO METALICO 90 SUPERNOVA,,active,25855.0,5063,2.0,19.0,4912.45,0.0,0.0
1100,COMEDERO PERRO METALICO ORION 50,,active,5322.0,5063,3.0,19.0,1011.18,0.0,0.0
1690,COMEDERO PERRO METALICO ORION 54,,active,9695.0,5063,0.0,19.0,1842.05,0.0,0.0
2022,COMEDERO PERRO METALICO ORION 55,,active,12492.0,5063,0.0,19.0,2373.48,0.0,0.0
1691,COMEDERO PERRO METALICO ORION 56,,active,16160.0,5063,0.0,19.0,3070.4,0.0,0.0
1692,COMEDERO PERRO METALICO ORION 58,,active,23357.0,5063,0.0,19.0,4437.83,0.0,0.0
885,COMEDERO PERRO SENSIBOWL 1200 ML BLANCO,,active,21835.0,5063,2.0,19.0,4148.65,0.0,0.0
870,COMEDERO PERRO SENSIBOWL 1200 ML NEGRO,,active,21835.0,5063,0.0,19.0,4148.65,0.0,0.0
883,COMEDERO PERRO SENSIBOWL 200 ML BLANCO,,active,9667.0,5063,0.0,19.0,1836.73,2.0,19334.0
868,COMEDERO PERRO SENSIBOWL 200 MLNEGRO,,active,14370.0,5063,2.0,19.0,2730.3,0.0,0.0
886,COMEDERO PERRO SENSIBOWL 2200 ML BLANCO,,active,28680.0,5063,3.0,19.0,5449.2,0.0,0.0
871,COMEDERO PERRO SENSIBOWL 2200 ML NEGRO,,active,28680.0,5063,1.0,19.0,5449.2,0.0,0.0
869,COMEDERO PERRO SENSIBOWL 350 ML,,active,18025.0,5063,2.0,19.0,3424.75,0.0,0.0
884,COMEDERO PERRO SENSIBOWL 700 ML BLANCO,,active,14992.0,5063,1.0,19.0,2848.48,0.0,0.0
872,COMEDERO PERRO SENSIBOWL DOBLE X 200 ML NEGRO,,active,15534.0,5063,0.0,19.0,2951.46,1.0,15534.0
887,COMEDERO PERRO SENSIBOWL X 200 ML BLANCO,,active,15534.0,5063,0.0,19.0,2951.46,0.0,0.0
888,COMEDERO PERRO SLOMO 950 ML BLANCO,,active,49514.0,5063,0.0,19.0,9407.66,0.0,0.0
1582,COMEDERO PLAST CARA DE GATO 200 ML AMARILLO,,active,6205.0,5063,2.0,19.0,1178.95,0.0,0.0
1583,COMEDERO PLAST CARA DE GATO 200 ML AZUL 0926,,active,6205.0,5063,0.0,19.0,1178.95,0.0,0.0
1584,COMEDERO PLAST CARA DE GATO 200 ML FUCSIA 0927,,active,6205.0,5063,0.0,19.0,1178.95,0.0,0.0
1585,COMEDERO PLAST CARA DE GATO 200 ML ROJO 0928,,active,6205.0,5063,1.0,19.0,1178.95,0.0,0.0
1189,COMEDERO PORTATIL VITO,,active,20924.0,5063,1.0,19.0,3975.56,0.0,0.0
778,"COMEDERO SMARTY 1,245 ML GRIS",,active,11538.0,5063,0.0,19.0,2192.22,0.0,0.0
757,"COMEDERO SMARTY 1,245 ML NARANJA",,active,11538.0,5063,0.0,19.0,2192.22,0.0,0.0
767,"COMEDERO SMARTY 1,245 ML ROJO",,active,11538.0,5063,1.0,19.0,2192.22,0.0,0.0
758,"COMEDERO SMARTY 1,245 ML VERDE",,active,11538.0,5063,0.0,19.0,2192.22,0.0,0.0
768,"COMEDERO SMARTY 1,248 ML AZUL OSCURO",,active,11538.0,5063,0.0,19.0,2192.22,0.0,0.0
760,"COMEDERO SMARTY 2,200 ML AZUL",,active,16923.0,5063,0.0,19.0,3215.37,0.0,0.0
847,"COMEDERO SMARTY 2,200 ML FUSCIA",,active,16923.0,5063,0.0,19.0,3215.37,0.0,0.0
779,"COMEDERO SMARTY 2,200 ML GRIS",,active,16923.0,5063,0.0,19.0,3215.37,0.0,0.0
759,"COMEDERO SMARTY 2,200 ML VERDE",,active,16923.0,5063,0.0,19.0,3215.37,0.0,0.0
772,COMEDERO SMARTY 210 ML AZUL OSCURO,,active,4923.0,5063,0.0,19.0,935.37,0.0,0.0
844,COMEDERO SMARTY 210 ML FUSCIA,,active,6075.0,5063,0.0,19.0,1154.25,0.0,0.0
776,COMEDERO SMARTY 210 ML GRIS,,active,6075.0,5063,0.0,19.0,1154.25,0.0,0.0
774,COMEDERO SMARTY 210 ML NARANJA,,active,4923.0,5063,0.0,19.0,935.37,0.0,0.0
771,COMEDERO SMARTY 210 ML ROJO,,active,4923.0,5063,0.0,19.0,935.37,0.0,0.0
773,COMEDERO SMARTY 210 ML VERDE,,active,6075.0,5063,0.0,19.0,1154.25,0.0,0.0
845,COMEDERO SMARTY 315 ML FUCSIA,,active,7368.0,5063,0.0,19.0,1399.92,0.0,0.0
770,COMEDERO SMARTY 315 ML GRIS,,active,7368.0,5063,0.0,19.0,1399.92,0.0,0.0
766,COMEDERO SMARTY 735 ML AZUL OSCURO,,active,11764.0,5063,1.0,19.0,2235.16,0.0,0.0
846,COMEDERO SMARTY 735 ML FUCSIA,,active,11764.0,5063,1.0,19.0,2235.16,0.0,0.0
756,COMEDERO SMARTY 735 ML VERDE LIMON,,active,11764.0,5063,0.0,19.0,2235.16,0.0,0.0
403,COMEDERO SQUARE G,,active,40000.0,5063,0.0,19.0,7600.0,0.0,0.0
853,COMEDERO TENDRY DINNER 210 ML FF AZUL OSCURO,,active,10342.0,5063,5.0,19.0,1964.98,0.0,0.0
854,COMEDERO TENDRY DINNER 350 ML FF AZUL OSCURO,,active,13057.0,5063,1.0,19.0,2480.83,0.0,0.0
